7.589817,-122.341064,1.301919071E9,776110,776759
776662,37.589767,-122.34116,1.301919071E9,776110,776759
776662,37.589714,-122.341255,1.301919071E9,776110,776759
776662,37.589664,-122.34135,1.301919071E9,776110,776759
776662,37.589607,-122.34145,1.301919071E9,776110,776759
776662,37.58955,-122.34156,1.301919071E9,776110,776759
776662,37.589493,-122.34166,1.301919071E9,776110,776759
776662,37.589443,-122.34177,1.301919071E9,776110,776759
776662,37.589413,-122.34189,1.301919071E9,776110,776759
776662,37.58938,-122.342,1.301919071E9,776110,776759
776662,37.58935,-122.34211,1.301919071E9,776110,776759
776662,37.589333,-122.34223,1.301919071E9,776110,776759
776662,37.589348,-122.342354,1.301919071E9,776110,776759
776662,37.589355,-122.34249,1.301919071E9,776110,776759
776662,37.58936,-122.34262,1.301919071E9,776110,776759
776662,37.58936,-122.34275,1.301919071E9,776110,776759
776662,37.589355,-122.34288,1.301919071E9,776110,776759
776662,37.58933,-122.34302,1.301919071E9,776110,776759
776662,37.589314,-122.34314,1.301919071E9,776110,776759
776662,37.58931,-122.34326,1.301919071E9,776110,776759
776662,37.589317,-122.34338,1.301919071E9,776110,776759
776662,37.589317,-122.34351,1.301919071E9,776110,776759
776662,37.58931,-122.343636,1.301919071E9,776110,776759
776662,37.589306,-122.34378,1.301919071E9,776110,776759
776662,37.589306,-122.343895,1.301919071E9,776110,776759
776662,37.5893,-122.344025,1.301919071E9,776110,776759
776662,37.5893,-122.34415,1.301919071E9,776110,776759
776662,37.589306,-122.34428,1.301919071E9,776110,776759
776662,37.58931,-122.3444,1.301919071E9,776110,776759
776662,37.589314,-122.34452,1.301919071E9,776110,776759
776662,37.589333,-122.34465,1.301919071E9,776110,776759
776662,37.58935,-122.34478,1.301919071E9,776110,776759
776662,37.589363,-122.3449,1.301919071E9,776110,776759
776662,37.58938,-122.345024,1.301919071E9,776110,776759
776662,37.589394,-122.34514,1.301919071E9,776110,776759
776662,37.5894,-122.34527,1.301919071E9,776110,776759
776662,37.58941,-122.3454,1.301919071E9,776110,776759
776662,37.589417,-122.34552,1.301919071E9,776110,776759
776662,37.589424,-122.34564,1.301919071E9,776110,776759
776662,37.58943,-122.34577,1.301919071E9,776110,776759
776662,37.589443,-122.3459,1.301919071E9,776110,776759
776662,37.58945,-122.346016,1.301919071E9,776110,776759
776662,37.589462,-122.34614,1.301919071E9,776110,776759
776662,37.58947,-122.34626,1.301919071E9,776110,776759
776662,37.589485,-122.34639,1.301919071E9,776110,776759
776662,37.5895,-122.34652,1.301919071E9,776110,776759
776662,37.58951,-122.34664,1.301919071E9,776110,776759
776662,37.58951,-122.346756,1.301919071E9,776110,776759
776662,37.58951,-122.34687,1.301919071E9,776110,776759
776662,37.58951,-122.346985,1.301919071E9,776110,776759
776662,37.58952,-122.347115,1.301919071E9,776110,776759
776662,37.589542,-122.34725,1.301919071E9,776110,776759
776662,37.589546,-122.34738,1.301919071E9,776110,776759
776662,37.58955,-122.34751,1.301919071E9,776110,776759
776662,37.589554,-122.34764,1.301919071E9,776110,776759
776662,37.589558,-122.34777,1.301919071E9,776110,776759
776662,37.58956,-122.3479,1.301919071E9,776110,776759
776662,37.58956,-122.348015,1.301919071E9,776110,776759
776662,37.589577,-122.34813,1.301919071E9,776110,776759
776662,37.589603,-122.34827,1.301919071E9,776110,776759
776662,37.589607,-122.34839,1.301919071E9,776110,776759
776662,37.58965,-122.3485,1.301919071E9,776110,776759
776662,37.589684,-122.348625,1.301919071E9,776110,776759
776662,37.589706,-122.34874,1.301919071E9,776110,776759
776662,37.589745,-122.34886,1.301919071E9,776110,776759
776662,37.58978,-122.348976,1.301919071E9,776110,776759
776662,37.589836,-122.34907,1.301919071E9,776110,776759
776662,37.58989,-122.349174,1.301919071E9,776110,776759
776662,37.589943,-122.34928,1.301919071E9,776110,776759
776662,37.59001,-122.34939,1.301919071E9,776110,776759
776662,37.590076,-122.34949,1.301919071E9,776110,776759
776662,37.590153,-122.34957,1.301919071E9,776110,776759
776662,37.590233,-122.34965,1.301919071E9,776110,776759
776662,37.5903,-122.34973,1.301919071E9,776110,776759
776662,37.59039,-122.34982,1.301919071E9,776110,776759
776662,37.590473,-122.349915,1.301919071E9,776110,776759
776662,37.59053,-122.350006,1.301919071E9,776110,776759
776662,37.59063,-122.35007,1.301919071E9,776110,776759
776662,37.590702,-122.350136,1.301919071E9,776110,776759
776662,37.590782,-122.350204,1.301919071E9,776110,776759
776662,37.590878,-122.35028,1.301919071E9,776110,776759
776662,37.590958,-122.35036,1.301919071E9,776110,776759
776662,37.591034,-122.35043,1.301919071E9,776110,776759
776662,37.59112,-122.35052,1.301919071E9,776110,776759
776662,37.59121,-122.35059,1.301919071E9,776110,776759
776662,37.59128,-122.350685,1.301919071E9,776110,776759
776662,37.59136,-122.3508,1.301919071E9,776110,776759
776662,37.591427,-122.35091,1.301919071E9,776110,776759
776662,37.591484,-122.35101,1.301919071E9,776110,776759
776662,37.591534,-122.351135,1.301919071E9,776110,776759
776662,37.59157,-122.35125,1.301919071E9,776110,776759
776662,37.591618,-122.35135,1.301919071E9,776110,776759
776662,37.591667,-122.35147,1.301919071E9,776110,776759
776662,37.591694,-122.3516,1.301919071E9,776110,776759
776662,37.59172,-122.35174,1.301919071E9,776110,776759
776662,37.59174,-122.35186,1.301919071E9,776110,776759
776662,37.591755,-122.35199,1.301919071E9,776110,776759
776662,37.591763,-122.35212,1.301919071E9,776110,776759
776662,37.591747,-122.35225,1.301919071E9,776110,776759
776662,37.59173,-122.35238,1.301919071E9,776110,776759
776662,37.591717,-122.35252,1.301919071E9,776110,776759
776662,37.591717,-122.352646,1.301919071E9,776110,776759
776662,37.591717,-122.352776,1.301919071E9,776110,776759
776662,37.59172,-122.3529,1.301919071E9,776110,776759
776662,37.59173,-122.35302,1.301919071E9,776110,776759
776662,37.591732,-122.35314,1.301919071E9,776110,776759
776662,37.59173,-122.35327,1.301919071E9,776110,776759
776662,37.591785,-122.35336,1.301919071E9,776110,776759
776662,37.591896,-122.35339,1.301919071E9,776110,776759
