,-37.869892,145.02623,1.301919071E9,776110,776759
776662,-37.86989,145.02611,1.301919071E9,776110,776759
776662,-37.86992,145.02597,1.301919071E9,776110,776759
776662,-37.869946,145.02583,1.301919071E9,776110,776759
776662,-37.870003,145.02573,1.301919071E9,776110,776759
776662,-37.870102,145.02567,1.301919071E9,776110,776759
776662,-37.87019,145.02557,1.301919071E9,776110,776759
776662,-37.87028,145.02553,1.301919071E9,776110,776759
776662,-37.870384,145.0255,1.301919071E9,776110,776759
776662,-37.87049,145.02545,1.301919071E9,776110,776759
776662,-37.8706,145.02542,1.301919071E9,776110,776759
776662,-37.870716,145.02542,1.301919071E9,776110,776759
776662,-37.87081,145.0254,1.301919071E9,776110,776759
776662,-37.87091,145.02539,1.301919071E9,776110,776759
776662,-37.87103,145.02536,1.301919071E9,776110,776759
776662,-37.871136,145.02533,1.301919071E9,776110,776759
776662,-37.871227,145.02528,1.301919071E9,776110,776759
776662,-37.871326,145.02524,1.301919071E9,776110,776759
776662,-37.87144,145.02518,1.301919071E9,776110,776759
776662,-37.871536,145.02516,1.301919071E9,776110,776759
776662,-37.871647,145.02516,1.301919071E9,776110,776759
776662,-37.87174,145.02515,1.301919071E9,776110,776759
776662,-37.87185,145.02513,1.301919071E9,776110,776759
776662,-37.871956,145.0251,1.301919071E9,776110,776759
776662,-37.87206,145.02505,1.301919071E9,776110,776759
776662,-37.872177,145.02504,1.301919071E9,776110,776759
776662,-37.87227,145.02504,1.301919071E9,776110,776759
776662,-37.872375,145.02504,1.301919071E9,776110,776759
776662,-37.872475,145.02507,1.301919071E9,776110,776759
776662,-37.872528,145.02516,1.301919071E9,776110,776759
776662,-37.872562,145.02528,1.301919071E9,776110,776759
776662,-37.872604,145.0254,1.301919071E9,776110,776759
776662,-37.872635,145.02553,1.301919071E9,776110,776759
776662,-37.872665,145.02565,1.301919071E9,776110,776759
776662,-37.872692,145.02577,1.301919071E9,776110,776759
776662,-37.87272,145.02591,1.301919071E9,776110,776759
776662,-37.872738,145.02605,1.301919071E9,776110,776759
776662,-37.872757,145.02618,1.301919071E9,776110,776759
776662,-37.872784,145.02632,1.301919071E9,776110,776759
776662,-37.87279,145.02646,1.301919071E9,776110,776759
776662,-37.872803,145.02661,1.301919071E9,776110,776759
776662,-37.872803,145.02675,1.301919071E9,776110,776759
776662,-37.872787,145.02713,1.301919071E9,776110,776759
776662,-37.87278,145.02724,1.301919071E9,776110,776759
776662,-37.8728,145.02736,1.301919071E9,776110,776759
776662,-37.872814,145.02748,1.301919071E9,776110,776759
776662,-37.87284,145.0276,1.301919071E9,776110,776759
776662,-37.872868,145.02774,1.301919071E9,776110,776759
776662,-37.872883,145.02786,1.301919071E9,776110,776759
776662,-37.872902,145.02798,1.301919071E9,776110,776759
776662,-37.87292,145.0281,1.301919071E9,776110,776759
776662,-37.87294,145.02824,1.301919071E9,776110,776759
776662,-37.87296,145.02837,1.301919071E9,776110,776759
776662,-37.872974,145.0285,1.301919071E9,776110,776759
776662,-37.872997,145.02864,1.301919071E9,776110,776759
776662,-37.87302,145.02876,1.301919071E9,776110,776759
776662,-37.873047,145.0289,1.301919071E9,776110,776759
776662,-37.873066,145.02902,1.301919071E9,776110,776759
776662,-37.87309,145.02913,1.301919071E9,776110,776759
776662,-37.8731,145.02927,1.301919071E9,776110,776759
776662,-37.873104,145.0294,1.301919071E9,776110,776759
776662,-37.87311,145.02954,1.301919071E9,776110,776759
776662,-37.873123,145.02965,1.301919071E9,776110,776759
776662,-37.873142,145.02977,1.301919071E9,776110,776759
776662,-37.873165,145.02989,1.301919071E9,776110,776759
776662,-37.873188,145.03001,1.301919071E9,776110,776759
776662,-37.873215,145.03015,1.301919071E9,776110,776759
776662,-37.873226,145.03027,1.301919071E9,776110,776759
776662,-37.87324,145.03041,1.301919071E9,776110,776759
776662,-37.87325,145.03053,1.301919071E9,776110,776759
776662,-37.87327,145.03067,1.301919071E9,776110,776759
776662,-37.873295,145.0308,1.301919071E9,776110,776759
776662,-37.873325,145.03093,1.301919071E9,776110,776759
776662,-37.87335,145.03105,1.301919071E9,776110,776759
776662,-37.873356,145.0312,1.301919071E9,776110,776759
776662,-37.87337,145.03134,1.301919071E9,776110,776759
776662,-37.873394,145.03146,1.301919071E9,776110,776759
776662,-37.8734,145.03157,1.301919071E9,776110,776759
776662,-37.873405,145.0317,1.301919071E9,776110,776759
776662,-37.87342,145.03181,1.301919071E9,776110,776759
776662,-37.873436,145.03197,1.301919071E9,776110,776759
776662,-37.87346,145.03212,1.301919071E9,776110,776759
776662,-37.873474,145.03223,1.301919071E9,776110,776759
776662,-37.8735,145.03236,1.301919071E9,776110,776759
776662,-37.873516,145.03249,1.301919071E9,776110,776759
776662,-37.873528,145.03261,1.301919071E9,776110,776759
776662,-37.87354,145.03271,1.301919071E9,776110,776759
776662,-37.873554,145.03284,1.301919071E9,776110,776759
776662,-37.873566,145.03296,1.301919071E9,776110,776759
776662,-37.873585,145.0331,1.301919071E9,776110,776759
776662,-37.873615,145.03323,1.301919071E9,776110,776759
776662,-37.87363,145.03336,1.301919071E9,776110,776759
776662,-37.873627,145.03351,1.301919071E9,776110,776759
776662,-37.873634,145.03365,1.301919071E9,776110,776759
776662,-37.873642,145.03377,1.301919071E9,776110,776759
776662,-37.873642,145.03389,1.301919071E9,776110,776759
776662,-37.87365,145.03403,1.301919071E9,776110,776759
776662,-37.873657,145.03416,1.301919071E9,776110,776759
776662,-37.873672,145.03427,1.301919071E9,776110,776759
776662,-37.87368,145.0344,1.301919071E9,776110,776759
776662,-37.873634,145.0345,1.301919071E9,776110,776759
776662,-37.873543,145.03456,1.301919071E9,776110,776759
776662,-37.873447,145.03458,1.301919071E9,776110,776759
776662,-37.87334,145.03459,1.301919071E9,776110,776759
776662,-37.873253,145.03462,1.301919071E9,776110,776759
776662,-37.87314,145.03464,1.301919071E9,776110,776759
