-37.871,145.02536,1.301919071E9,776110,776759
776662,-37.87111,145.02533,1.301919071E9,776110,776759
776662,-37.871227,145.02533,1.301919071E9,776110,776759
776662,-37.87134,145.02531,1.301919071E9,776110,776759
776662,-37.871433,145.0253,1.301919071E9,776110,776759
776662,-37.871525,145.02528,1.301919071E9,776110,776759
776662,-37.87164,145.02524,1.301919071E9,776110,776759
776662,-37.871773,145.02518,1.301919071E9,776110,776759
776662,-37.87188,145.02515,1.301919071E9,776110,776759
776662,-37.87199,145.02512,1.301919071E9,776110,776759
776662,-37.872097,145.02509,1.301919071E9,776110,776759
776662,-37.87219,145.02507,1.301919071E9,776110,776759
776662,-37.8723,145.02507,1.301919071E9,776110,776759
776662,-37.872414,145.02509,1.301919071E9,776110,776759
776662,-37.872498,145.02516,1.301919071E9,776110,776759
776662,-37.87252,145.02527,1.301919071E9,776110,776759
776662,-37.872524,145.02542,1.301919071E9,776110,776759
776662,-37.872513,145.02554,1.301919071E9,776110,776759
776662,-37.87254,145.02568,1.301919071E9,776110,776759
776662,-37.872566,145.0258,1.301919071E9,776110,776759
776662,-37.872597,145.02592,1.301919071E9,776110,776759
776662,-37.87264,145.02603,1.301919071E9,776110,776759
776662,-37.872673,145.02617,1.301919071E9,776110,776759
776662,-37.872684,145.02632,1.301919071E9,776110,776759
776662,-37.872696,145.02644,1.301919071E9,776110,776759
776662,-37.8727,145.02658,1.301919071E9,776110,776759
776662,-37.87272,145.0267,1.301919071E9,776110,776759
776662,-37.872746,145.02684,1.301919071E9,776110,776759
776662,-37.87275,145.02696,1.301919071E9,776110,776759
776662,-37.87279,145.02708,1.301919071E9,776110,776759
776662,-37.872814,145.02722,1.301919071E9,776110,776759
776662,-37.872833,145.02736,1.301919071E9,776110,776759
776662,-37.872856,145.02748,1.301919071E9,776110,776759
776662,-37.872875,145.02759,1.301919071E9,776110,776759
776662,-37.87289,145.02774,1.301919071E9,776110,776759
776662,-37.872894,145.02788,1.301919071E9,776110,776759
776662,-37.872902,145.02803,1.301919071E9,776110,776759
776662,-37.87293,145.02817,1.301919071E9,776110,776759
776662,-37.87295,145.0283,1.301919071E9,776110,776759
776662,-37.87298,145.02843,1.301919071E9,776110,776759
776662,-37.873,145.02855,1.301919071E9,776110,776759
776662,-37.87303,145.02866,1.301919071E9,776110,776759
776662,-37.87305,145.02878,1.301919071E9,776110,776759
776662,-37.87307,145.02892,1.301919071E9,776110,776759
776662,-37.87309,145.02907,1.301919071E9,776110,776759
776662,-37.87309,145.0292,1.301919071E9,776110,776759
776662,-37.8731,145.02936,1.301919071E9,776110,776759
776662,-37.87312,145.0295,1.301919071E9,776110,776759
776662,-37.873142,145.02963,1.301919071E9,776110,776759
776662,-37.87316,145.02977,1.301919071E9,776110,776759
776662,-37.873177,145.0299,1.301919071E9,776110,776759
776662,-37.87319,145.03006,1.301919071E9,776110,776759
776662,-37.873215,145.03018,1.301919071E9,776110,776759
776662,-37.873238,145.0303,1.301919071E9,776110,776759
776662,-37.873257,145.03046,1.301919071E9,776110,776759
776662,-37.87327,145.03058,1.301919071E9,776110,776759
776662,-37.873283,145.0307,1.301919071E9,776110,776759
776662,-37.873302,145.03082,1.301919071E9,776110,776759
776662,-37.873318,145.03094,1.301919071E9,776110,776759
776662,-37.873325,145.03105,1.301919071E9,776110,776759
776662,-37.873344,145.03119,1.301919071E9,776110,776759
776662,-37.87336,145.03133,1.301919071E9,776110,776759
776662,-37.87337,145.03146,1.301919071E9,776110,776759
776662,-37.87339,145.0316,1.301919071E9,776110,776759
776662,-37.8734,145.03175,1.301919071E9,776110,776759
776662,-37.873425,145.03189,1.301919071E9,776110,776759
776662,-37.873436,145.03201,1.301919071E9,776110,776759
776662,-37.87345,145.03214,1.301919071E9,776110,776759
776662,-37.87347,145.03224,1.301919071E9,776110,776759
776662,-37.873493,145.03236,1.301919071E9,776110,776759
776662,-37.873512,145.03252,1.301919071E9,776110,776759
776662,-37.87353,145.03265,1.301919071E9,776110,776759
776662,-37.87354,145.03279,1.301919071E9,776110,776759
776662,-37.873554,145.03291,1.301919071E9,776110,776759
776662,-37.873566,145.03304,1.301919071E9,776110,776759
776662,-37.873566,145.03319,1.301919071E9,776110,776759
776662,-37.873577,145.03333,1.301919071E9,776110,776759
776662,-37.87359,145.03348,1.301919071E9,776110,776759
776662,-37.873604,145.0336,1.301919071E9,776110,776759
776662,-37.873623,145.0337,1.301919071E9,776110,776759
776662,-37.87364,145.03383,1.301919071E9,776110,776759
