-33.427784,-70.66935,1.301919071E9,776110,776759
776662,-33.427742,-70.66945,1.301919071E9,776110,776759
776662,-33.427708,-70.66958,1.301919071E9,776110,776759
776662,-33.427666,-70.6697,1.301919071E9,776110,776759
776662,-33.42762,-70.6698,1.301919071E9,776110,776759
776662,-33.427578,-70.66992,1.301919071E9,776110,776759
776662,-33.427532,-70.67005,1.301919071E9,776110,776759
776662,-33.42749,-70.67016,1.301919071E9,776110,776759
776662,-33.427464,-70.670265,1.301919071E9,776110,776759
776662,-33.427444,-70.67038,1.301919071E9,776110,776759
776662,-33.427414,-70.670494,1.301919071E9,776110,776759
776662,-33.427383,-70.6706,1.301919071E9,776110,776759
776662,-33.42735,-70.67071,1.301919071E9,776110,776759
776662,-33.427322,-70.670845,1.301919071E9,776110,776759
776662,-33.427273,-70.67094,1.301919071E9,776110,776759
776662,-33.427227,-70.67106,1.301919071E9,776110,776759
776662,-33.42715,-70.67115,1.301919071E9,776110,776759
776662,-33.427105,-70.67126,1.301919071E9,776110,776759
776662,-33.42706,-70.67135,1.301919071E9,776110,776759
776662,-33.427143,-70.67129,1.301919071E9,776110,776759
776662,-33.427197,-70.67118,1.301919071E9,776110,776759
776662,-33.427265,-70.67109,1.301919071E9,776110,776759
776662,-33.427307,-70.670975,1.301919071E9,776110,776759
776662,-33.427334,-70.67085,1.301919071E9,776110,776759
776662,-33.42736,-70.67073,1.301919071E9,776110,776759
776662,-33.42741,-70.67062,1.301919071E9,776110,776759
776662,-33.42744,-70.67052,1.301919071E9,776110,776759
776662,-33.42748,-70.670395,1.301919071E9,776110,776759
776662,-33.427532,-70.67029,1.301919071E9,776110,776759
776662,-33.427547,-70.67018,1.301919071E9,776110,776759
776662,-33.42758,-70.67006,1.301919071E9,776110,776759
776662,-33.427643,-70.66997,1.301919071E9,776110,776759
776662,-33.427692,-70.66985,1.301919071E9,776110,776759
776662,-33.427715,-70.66974,1.301919071E9,776110,776759
776662,-33.427757,-70.669624,1.301919071E9,776110,776759
776662,-33.427784,-70.669495,1.301919071E9,776110,776759
776662,-33.427837,-70.66939,1.301919071E9,776110,776759
776662,-33.427868,-70.66925,1.301919071E9,776110,776759
776662,-33.427906,-70.66915,1.301919071E9,776110,776759
776662,-33.427944,-70.66905,1.301919071E9,776110,776759
776662,-33.42797,-70.66892,1.301919071E9,776110,776759
776662,-33.428005,-70.668816,1.301919071E9,776110,776759
776662,-33.428047,-70.66871,1.301919071E9,776110,776759
776662,-33.4281,-70.6686,1.301919071E9,776110,776759
776662,-33.42814,-70.6685,1.301919071E9,776110,776759
776662,-33.42819,-70.66839,1.301919071E9,776110,776759
776662,-33.42823,-70.66827,1.301919071E9,776110,776759
776662,-33.42828,-70.66817,1.301919071E9,776110,776759
776662,-33.428314,-70.66806,1.301919071E9,776110,776759
776662,-33.42834,-70.667946,1.301919071E9,776110,776759
776662,-33.42838,-70.66785,1.301919071E9,776110,776759
776662,-33.428432,-70.66774,1.301919071E9,776110,776759
776662,-33.428455,-70.66762,1.301919071E9,776110,776759
776662,-33.42847,-70.66751,1.301919071E9,776110,776759
776662,-33.42842,-70.66741,1.301919071E9,776110,776759
776662,-33.42848,-70.66733,1.301919071E9,776110,776759
776662,-33.42854,-70.66724,1.301919071E9,776110,776759
776662,-33.428585,-70.66713,1.301919071E9,776110,776759
776662,-33.42862,-70.667015,1.301919071E9,776110,776759
776662,-33.428646,-70.6669,1.301919071E9,776110,776759
776662,-33.428677,-70.66677,1.301919071E9,776110,776759
776662,-33.428726,-70.66669,1.301919071E9,776110,776759
776662,-33.428787,-70.66658,1.301919071E9,776110,776759
776662,-33.428833,-70.66649,1.301919071E9,776110,776759
776662,-33.428886,-70.6664,1.301919071E9,776110,776759
776662,-33.428955,-70.6663,1.301919071E9,776110,776759
776662,-33.429016,-70.66619,1.301919071E9,776110,776759
776662,-33.4291,-70.66612,1.301919071E9,776110,776759
776662,-33.429096,-70.666016,1.301919071E9,776110,776759
776662,-33.42907,-70.66591,1.301919071E9,776110,776759
776662,-33.429077,-70.66579,1.301919071E9,776110,776759
776662,-33.42912,-70.66568,1.301919071E9,776110,776759
776662,-33.42916,-70.66558,1.301919071E9,776110,776759
776662,-33.429207,-70.66548,1.301919071E9,776110,776759
776662,-33.429245,-70.66538,1.301919071E9,776110,776759
776662,-33.42927,-70.66525,1.301919071E9,776110,776759
776662,-33.42928,-70.66513,1.301919071E9,776110,776759
776662,-33.429325,-70.66503,1.301919071E9,776110,776759
776662,-33.429394,-70.66492,1.301919071E9,776110,776759
776662,-33.429424,-70.66478,1.301919071E9,776110,776759
776662,-33.42949,-70.66468,1.301919071E9,776110,776759
776662,-33.429527,-70.66456,1.301919071E9,776110,776759
776662,-33.42956,-70.664444,1.301919071E9,776110,776759
776662,-33.429607,-70.66434,1.301919071E9,776110,776759
776662,-33.42965,-70.664215,1.301919071E9,776110,776759
776662,-33.42968,-70.664085,1.301919071E9,776110,776759
776662,-33.429703,-70.66397,1.301919071E9,776110,776759
776662,-33.429737,-70.66384,1.301919071E9,776110,776759
776662,-33.429775,-70.66375,1.301919071E9,776110,776759
776662,-33.429806,-70.66363,1.301919071E9,776110,776759
776662,-33.42982,-70.66352,1.301919071E9,776110,776759
776662,-33.42984,-70.6634,1.301919071E9,776110,776759
776662,-33.42987,-70.66329,1.301919071E9,776110,776759
776662,-33.4299,-70.66317,1.301919071E9,776110,776759
776662,-33.42992,-70.66305,1.301919071E9,776110,776759
776662,-33.429955,-70.66293,1.301919071E9,776110,776759
776662,-33.429996,-70.66283,1.301919071E9,776110,776759
776662,-33.43004,-70.66271,1.301919071E9,776110,776759
776662,-33.43009,-70.6626,1.301919071E9,776110,776759
