,-33.441296,-70.66199,1.301919071E9,776110,776759
776662,-33.4412,-70.661995,1.301919071E9,776110,776759
776662,-33.44111,-70.66201,1.301919071E9,776110,776759
776662,-33.441013,-70.66202,1.301919071E9,776110,776759
776662,-33.44083,-70.66223,1.301919071E9,776110,776759
776662,-33.440845,-70.66235,1.301919071E9,776110,776759
776662,-33.440872,-70.66263,1.301919071E9,776110,776759
776662,-33.440907,-70.662926,1.301919071E9,776110,776759
776662,-33.440918,-70.66303,1.301919071E9,776110,776759
776662,-33.44093,-70.66315,1.301919071E9,776110,776759
776662,-33.44095,-70.6633,1.301919071E9,776110,776759
776662,-33.440964,-70.663445,1.301919071E9,776110,776759
776662,-33.44098,-70.66356,1.301919071E9,776110,776759
776662,-33.44099,-70.66369,1.301919071E9,776110,776759
776662,-33.441006,-70.66385,1.301919071E9,776110,776759
776662,-33.441017,-70.663956,1.301919071E9,776110,776759
776662,-33.441032,-70.66408,1.301919071E9,776110,776759
776662,-33.441044,-70.6642,1.301919071E9,776110,776759
776662,-33.44106,-70.664345,1.301919071E9,776110,776759
776662,-33.44107,-70.664474,1.301919071E9,776110,776759
776662,-33.44107,-70.664474,1.301919071E9,776110,776759
776662,-33.425007,-70.61168,1.301919071E9,776110,776759
776662,-33.42498,-70.61168,1.301919071E9,776110,776759
776662,-33.42489,-70.6117,1.301919071E9,776110,776759
776662,-33.424812,-70.61176,1.301919071E9,776110,776759
776662,-33.424713,-70.61176,1.301919071E9,776110,776759
776662,-33.424633,-70.61182,1.301919071E9,776110,776759
776662,-33.424618,-70.61193,1.301919071E9,776110,776759
776662,-33.424644,-70.61182,1.301919071E9,776110,776759
776662,-33.42461,-70.611916,1.301919071E9,776110,776759
776662,-33.42458,-70.61204,1.301919071E9,776110,776759
776662,-33.42451,-70.612114,1.301919071E9,776110,776759
776662,-33.424614,-70.61206,1.301919071E9,776110,776759
776662,-33.424698,-70.61201,1.301919071E9,776110,776759
776662,-33.42479,-70.61205,1.301919071E9,776110,776759
776662,-33.424862,-70.61214,1.301919071E9,776110,776759
776662,-33.42491,-70.61223,1.301919071E9,776110,776759
776662,-33.42494,-70.61235,1.301919071E9,776110,776759
776662,-33.42501,-70.61242,1.301919071E9,776110,776759
776662,-33.425076,-70.612495,1.301919071E9,776110,776759
776662,-33.42512,-70.61262,1.301919071E9,776110,776759
776662,-33.42515,-70.612724,1.301919071E9,776110,776759
776662,-33.425205,-70.612816,1.301919071E9,776110,776759
776662,-33.425266,-70.61291,1.301919071E9,776110,776759
776662,-33.425262,-70.613014,1.301919071E9,776110,776759
776662,-33.4253,-70.61315,1.301919071E9,776110,776759
776662,-33.425343,-70.61326,1.301919071E9,776110,776759
776662,-33.4254,-70.61335,1.301919071E9,776110,776759
776662,-33.42546,-70.61345,1.301919071E9,776110,776759
776662,-33.425484,-70.61356,1.301919071E9,776110,776759
776662,-33.425488,-70.61368,1.301919071E9,776110,776759
776662,-33.42552,-70.613785,1.301919071E9,776110,776759
776662,-33.42557,-70.61388,1.301919071E9,776110,776759
776662,-33.42563,-70.61398,1.301919071E9,776110,776759
776662,-33.425705,-70.61406,1.301919071E9,776110,776759
776662,-33.42576,-70.61415,1.301919071E9,776110,776759
776662,-33.42568,-70.614235,1.301919071E9,776110,776759
776662,-33.42567,-70.61434,1.301919071E9,776110,776759
776662,-33.425716,-70.61444,1.301919071E9,776110,776759
776662,-33.42574,-70.61455,1.301919071E9,776110,776759
776662,-33.425827,-70.614586,1.301919071E9,776110,776759
776662,-33.425896,-70.61466,1.301919071E9,776110,776759
776662,-33.425934,-70.614555,1.301919071E9,776110,776759
776662,-33.42593,-70.61443,1.301919071E9,776110,776759
776662,-33.42596,-70.61454,1.301919071E9,776110,776759
776662,-33.425983,-70.614655,1.301919071E9,776110,776759
776662,-33.426014,-70.61478,1.301919071E9,776110,776759
776662,-33.426052,-70.614876,1.301919071E9,776110,776759
776662,-33.426105,-70.61497,1.301919071E9,776110,776759
776662,-33.426144,-70.61508,1.301919071E9,776110,776759
776662,-33.42621,-70.61516,1.301919071E9,776110,776759
776662,-33.426277,-70.61524,1.301919071E9,776110,776759
776662,-33.426365,-70.615265,1.301919071E9,776110,776759
776662,-33.42645,-70.615234,1.301919071E9,776110,776759
776662,-33.426476,-70.61536,1.301919071E9,776110,776759
776662,-33.426544,-70.61544,1.301919071E9,776110,776759
776662,-33.426624,-70.61551,1.301919071E9,776110,776759
776662,-33.42671,-70.61557,1.301919071E9,776110,776759
776662,-33.426754,-70.61568,1.301919071E9,776110,776759
776662,-33.426853,-70.61574,1.301919071E9,776110,776759
776662,-33.426926,-70.615814,1.301919071E9,776110,776759
776662,-33.42701,-70.61586,1.301919071E9,776110,776759
776662,-33.427032,-70.61598,1.301919071E9,776110,776759
776662,-33.427044,-70.616104,1.301919071E9,776110,776759
776662,-33.427116,-70.61619,1.301919071E9,776110,776759
776662,-33.427162,-70.61629,1.301919071E9,776110,776759
776662,-33.427208,-70.616394,1.301919071E9,776110,776759
776662,-33.42726,-70.616486,1.301919071E9,776110,776759
776662,-33.427345,-70.61653,1.301919071E9,776110,776759
776662,-33.427418,-70.616615,1.301919071E9,776110,776759
776662,-33.42747,-70.616714,1.301919071E9,776110,776759
776662,-33.42747,-70.61683,1.301919071E9,776110,776759
776662,-33.42754,-70.616905,1.301919071E9,776110,776759
776662,-33.4276,-70.61699,1.301919071E9,776110,776759
776662,-33.42767,-70.61708,1.301919071E9,776110,776759
776662,-33.42775,-70.61715,1.301919071E9,776110,776759
776662,-33.427814,-70.617226,1.301919071E9,776110,776759
776662,-33.42788,-70.6173,1.301919071E9,776110,776759
