,-156.6842,1.301919071E9,776110,776759
776662,20.958588,-156.68417,1.301919071E9,776110,776759
776662,20.958637,-156.68416,1.301919071E9,776110,776759
776662,20.958685,-156.68413,1.301919071E9,776110,776759
776662,20.958773,-156.68408,1.301919071E9,776110,776759
776662,20.95882,-156.68405,1.301919071E9,776110,776759
776662,20.958872,-156.68402,1.301919071E9,776110,776759
776662,20.958923,-156.68399,1.301919071E9,776110,776759
776662,20.958975,-156.68396,1.301919071E9,776110,776759
776662,20.95899,-156.68396,1.301919071E9,776110,776759
776662,20.95904,-156.68393,1.301919071E9,776110,776759
776662,20.959091,-156.6839,1.301919071E9,776110,776759
776662,20.959173,-156.68385,1.301919071E9,776110,776759
776662,20.959227,-156.68382,1.301919071E9,776110,776759
776662,20.959274,-156.68379,1.301919071E9,776110,776759
776662,20.959322,-156.68376,1.301919071E9,776110,776759
776662,20.959408,-156.6837,1.301919071E9,776110,776759
776662,20.959463,-156.68367,1.301919071E9,776110,776759
776662,20.95952,-156.68365,1.301919071E9,776110,776759
776662,20.95956,-156.68364,1.301919071E9,776110,776759
776662,20.959621,-156.68364,1.301919071E9,776110,776759
776662,20.959717,-156.68362,1.301919071E9,776110,776759
776662,20.959791,-156.68362,1.301919071E9,776110,776759
776662,20.959854,-156.68361,1.301919071E9,776110,776759
776662,20.95996,-156.6836,1.301919071E9,776110,776759
776662,20.960064,-156.68358,1.301919071E9,776110,776759
776662,20.960173,-156.68358,1.301919071E9,776110,776759
776662,20.960262,-156.68358,1.301919071E9,776110,776759
776662,20.960375,-156.6836,1.301919071E9,776110,776759
776662,20.96047,-156.6836,1.301919071E9,776110,776759
776662,20.960571,-156.6836,1.301919071E9,776110,776759
776662,20.960678,-156.6836,1.301919071E9,776110,776759
776662,20.960695,-156.68358,1.301919071E9,776110,776759
776662,20.960749,-156.68358,1.301919071E9,776110,776759
776662,20.960798,-156.68358,1.301919071E9,776110,776759
776662,20.960817,-156.68358,1.301919071E9,776110,776759
776662,20.960884,-156.68356,1.301919071E9,776110,776759
776662,20.960987,-156.68353,1.301919071E9,776110,776759
776662,20.961075,-156.6835,1.301919071E9,776110,776759
776662,20.961143,-156.68349,1.301919071E9,776110,776759
776662,20.961199,-156.68346,1.301919071E9,776110,776759
776662,20.961248,-156.68344,1.301919071E9,776110,776759
776662,20.961342,-156.68341,1.301919071E9,776110,776759
776662,20.96136,-156.6834,1.301919071E9,776110,776759
776662,20.961416,-156.68338,1.301919071E9,776110,776759
776662,20.961456,-156.68336,1.301919071E9,776110,776759
776662,20.961512,-156.68335,1.301919071E9,776110,776759
776662,20.961552,-156.68333,1.301919071E9,776110,776759
776662,20.961613,-156.6833,1.301919071E9,776110,776759
776662,20.961653,-156.68329,1.301919071E9,776110,776759
776662,20.961712,-156.68327,1.301919071E9,776110,776759
776662,20.961765,-156.68324,1.301919071E9,776110,776759
776662,20.961819,-156.68321,1.301919071E9,776110,776759
776662,20.961878,-156.6832,1.301919071E9,776110,776759
776662,20.961935,-156.68317,1.301919071E9,776110,776759
776662,20.962027,-156.68314,1.301919071E9,776110,776759
776662,20.962086,-156.68312,1.301919071E9,776110,776759
776662,20.962183,-156.68309,1.301919071E9,776110,776759
776662,20.962208,-156.68307,1.301919071E9,776110,776759
776662,20.961994,-156.6833,1.301919071E9,776110,776759
776662,20.96227,-156.68323,1.301919071E9,776110,776759
776662,20.962334,-156.6831,1.301919071E9,776110,776759
776662,20.962399,-156.68303,1.301919071E9,776110,776759
776662,20.962479,-156.68297,1.301919071E9,776110,776759
776662,20.962585,-156.6829,1.301919071E9,776110,776759
776662,20.962666,-156.68288,1.301919071E9,776110,776759
