.00989,-118.49291,1.301919071E9,776110,776759
776662,34.00982,-118.49282,1.301919071E9,776110,776759
776662,34.009747,-118.49272,1.301919071E9,776110,776759
776662,34.009678,-118.49264,1.301919071E9,776110,776759
776662,34.009594,-118.49255,1.301919071E9,776110,776759
776662,34.009525,-118.492485,1.301919071E9,776110,776759
776662,34.009453,-118.4924,1.301919071E9,776110,776759
776662,34.009384,-118.492325,1.301919071E9,776110,776759
776662,34.009308,-118.49222,1.301919071E9,776110,776759
776662,34.00924,-118.49213,1.301919071E9,776110,776759
776662,34.009174,-118.492035,1.301919071E9,776110,776759
776662,34.0091,-118.49195,1.301919071E9,776110,776759
776662,34.009033,-118.49187,1.301919071E9,776110,776759
776662,34.008965,-118.49179,1.301919071E9,776110,776759
776662,34.008873,-118.4917,1.301919071E9,776110,776759
776662,34.0088,-118.49164,1.301919071E9,776110,776759
776662,34.008717,-118.49154,1.301919071E9,776110,776759
776662,34.008636,-118.49145,1.301919071E9,776110,776759
776662,34.00856,-118.491356,1.301919071E9,776110,776759
776662,34.00848,-118.491264,1.301919071E9,776110,776759
776662,34.0084,-118.49117,1.301919071E9,776110,776759
776662,34.008324,-118.49106,1.301919071E9,776110,776759
776662,34.008266,-118.49098,1.301919071E9,776110,776759
776662,34.0082,-118.4909,1.301919071E9,776110,776759
776662,34.008137,-118.49082,1.301919071E9,776110,776759
776662,34.008045,-118.49073,1.301919071E9,776110,776759
776662,34.007957,-118.49065,1.301919071E9,776110,776759
776662,34.00786,-118.49061,1.301919071E9,776110,776759
776662,34.00776,-118.490585,1.301919071E9,776110,776759
776662,34.00767,-118.49053,1.301919071E9,776110,776759
776662,34.00756,-118.49049,1.301919071E9,776110,776759
776662,34.00743,-118.49042,1.301919071E9,776110,776759
776662,34.007343,-118.49037,1.301919071E9,776110,776759
776662,34.007233,-118.49033,1.301919071E9,776110,776759
776662,34.007126,-118.490265,1.301919071E9,776110,776759
776662,34.00702,-118.490204,1.301919071E9,776110,776759
776662,34.00701,-118.4901,1.301919071E9,776110,776759
776662,34.00697,-118.48999,1.301919071E9,776110,776759
776662,34.006893,-118.48989,1.301919071E9,776110,776759
776662,34.006805,-118.4898,1.301919071E9,776110,776759
776662,34.006737,-118.489716,1.301919071E9,776110,776759
776662,34.006668,-118.48963,1.301919071E9,776110,776759
776662,34.006588,-118.489555,1.301919071E9,776110,776759
776662,34.0065,-118.48946,1.301919071E9,776110,776759
776662,34.006435,-118.48939,1.301919071E9,776110,776759
776662,34.006367,-118.4893,1.301919071E9,776110,776759
776662,34.006294,-118.48923,1.301919071E9,776110,776759
776662,34.00623,-118.48915,1.301919071E9,776110,776759
776662,34.006165,-118.48906,1.301919071E9,776110,776759
776662,34.006096,-118.48899,1.301919071E9,776110,776759
776662,34.006027,-118.488914,1.301919071E9,776110,776759
776662,34.005966,-118.48882,1.301919071E9,776110,776759
776662,34.00589,-118.48872,1.301919071E9,776110,776759
776662,34.005817,-118.48864,1.301919071E9,776110,776759
776662,34.00575,-118.488556,1.301919071E9,776110,776759
776662,34.005672,-118.48848,1.301919071E9,776110,776759
776662,34.00559,-118.4884,1.301919071E9,776110,776759
776662,34.005505,-118.48832,1.301919071E9,776110,776759
776662,34.00543,-118.488235,1.301919071E9,776110,776759
776662,34.00535,-118.48816,1.301919071E9,776110,776759
776662,34.005272,-118.48806,1.301919071E9,776110,776759
776662,34.005203,-118.48796,1.301919071E9,776110,776759
776662,34.005116,-118.48786,1.301919071E9,776110,776759
776662,34.00503,-118.48777,1.301919071E9,776110,776759
776662,34.004944,-118.48767,1.301919071E9,776110,776759
776662,34.004864,-118.48759,1.301919071E9,776110,776759
776662,34.004787,-118.487526,1.301919071E9,776110,776759
776662,34.00471,-118.48746,1.301919071E9,776110,776759
776662,34.004623,-118.48738,1.301919071E9,776110,776759
776662,34.00453,-118.48729,1.301919071E9,776110,776759
776662,34.00445,-118.4872,1.301919071E9,776110,776759
776662,34.00436,-118.48712,1.301919071E9,776110,776759
776662,34.004276,-118.48705,1.301919071E9,776110,776759
776662,34.00418,-118.48698,1.301919071E9,776110,776759
776662,34.004093,-118.4869,1.301919071E9,776110,776759
776662,34.004005,-118.48681,1.301919071E9,776110,776759
776662,34.003933,-118.48674,1.301919071E9,776110,776759
776662,34.00386,-118.48666,1.301919071E9,776110,776759
776662,34.003784,-118.486595,1.301919071E9,776110,776759
776662,34.003708,-118.486534,1.301919071E9,776110,776759
776662,34.003624,-118.48647,1.301919071E9,776110,776759
776662,34.003536,-118.4864,1.301919071E9,776110,776759
776662,34.003456,-118.48631,1.301919071E9,776110,776759
776662,34.003372,-118.48622,1.301919071E9,776110,776759
776662,34.003292,-118.48614,1.301919071E9,776110,776759
776662,34.0032,-118.48605,1.301919071E9,776110,776759
776662,34.003117,-118.48599,1.301919071E9,776110,776759
776662,34.00303,-118.48592,1.301919071E9,776110,776759
776662,34.002956,-118.48583,1.301919071E9,776110,776759
776662,34.002884,-118.48575,1.301919071E9,776110,776759
776662,34.00281,-118.48569,1.301919071E9,776110,776759
776662,34.00272,-118.4856,1.301919071E9,776110,776759
776662,34.00263,-118.48551,1.301919071E9,776110,776759
776662,34.002537,-118.48542,1.301919071E9,776110,776759
776662,34.002472,-118.485344,1.301919071E9,776110,776759
776662,34.002403,-118.485245,1.301919071E9,776110,776759
776662,34.002335,-118.48516,1.301919071E9,776110,776759
776662,34.002254,-118.48507,1.301919071E9,776110,776759
776662,34.00217,-118.48498,1.301919071E9,776110,776759
776662,34.0021,-118.4849,1.301919071E9,776110,776759
776662,34.00203,-118.48482,1.301919071E9,776110,776759
776662,34.001957,-118.48473,1.301919071E9,776110,776759
776662,34.00189,-118.48465,1.301919071E9,776110,776759
776662,34.001823,-118.48456,1.301919071E9,776110,776759
776662,34.001762,-118.484474,1.301919071E9,776110,776759
776662,34.001675,-118.48439,1.301919071E9,776110,776759
776662,34.00161,-118.484314,1.301919071E9,776110,776759
776662,34.001526,-118.48422,1.301919071E9,776110,776759
776662,34.001453,-118.48415,1.301919071E9,776110,776759
776662,34.001377,-118.48409,1.301919071E9,776110,776759
776662,34.001297,-118.484024,1.301919071E9,776110,776759
776662,34.00122,-118.483955,1.301919071E9,776110,776759
776662,34.001144,-118.483894,1.301919071E9,776110,776759
776662,34.00106,-118.483826,1.301919071E9,776110,776759
776662,34.000973,-118.48374,1.301919071E9,776110,776759
776662,34.00089,-118.48367,1.301919071E9,776110,776759
776662,34.00081,-118.48363,1.301919071E9,776110,776759
776662,34.000732,-118.48355,1.301919071E9,776110,776759
776662,34.00064,-118.483475,1.301919071E9,776110,776759
776662,34.000553,-118.4834,1.301919071E9,776110,776759
776662,34.000465,-118.48333,1.301919071E9,776110,776759
776662,34.00039,-118.48326,1.301919071E9,776110,776759
776662,34.0003,-118.48319,1.301919071E9,776110,776759
776662,34.000206,-118.48313,1.301919071E9,776110,776759
776662,34.000114,-118.483055,1.301919071E9,776110,776759
