,25.76841,-80.13266,1.301919071E9,776110,776759
776662,25.768387,-80.132545,1.301919071E9,776110,776759
776662,25.768381,-80.13242,1.301919071E9,776110,776759
776662,25.76837,-80.132324,1.301919071E9,776110,776759
776662,25.768364,-80.1322,1.301919071E9,776110,776759
776662,25.768377,-80.13207,1.301919071E9,776110,776759
776662,25.768385,-80.13197,1.301919071E9,776110,776759
776662,25.768402,-80.13186,1.301919071E9,776110,776759
776662,25.768427,-80.13173,1.301919071E9,776110,776759
776662,25.768414,-80.13163,1.301919071E9,776110,776759
776662,25.768332,-80.13157,1.301919071E9,776110,776759
776662,25.768219,-80.13157,1.301919071E9,776110,776759
776662,25.768118,-80.13159,1.301919071E9,776110,776759
776662,25.768015,-80.13162,1.301919071E9,776110,776759
776662,25.767923,-80.13163,1.301919071E9,776110,776759
776662,25.76782,-80.13164,1.301919071E9,776110,776759
776662,25.767723,-80.13164,1.301919071E9,776110,776759
776662,25.767616,-80.13164,1.301919071E9,776110,776759
776662,25.767515,-80.13162,1.301919071E9,776110,776759
776662,25.767416,-80.1316,1.301919071E9,776110,776759
776662,25.767315,-80.1316,1.301919071E9,776110,776759
776662,25.767218,-80.131615,1.301919071E9,776110,776759
776662,25.76711,-80.13164,1.301919071E9,776110,776759
776662,25.767015,-80.131645,1.301919071E9,776110,776759
776662,25.766918,-80.13166,1.301919071E9,776110,776759
776662,25.766823,-80.13167,1.301919071E9,776110,776759
776662,25.766727,-80.13166,1.301919071E9,776110,776759
776662,25.766634,-80.13164,1.301919071E9,776110,776759
776662,25.766535,-80.13162,1.301919071E9,776110,776759
776662,25.766434,-80.131615,1.301919071E9,776110,776759
776662,25.766329,-80.1316,1.301919071E9,776110,776759
776662,25.766232,-80.13159,1.301919071E9,776110,776759
776662,25.766136,-80.131584,1.301919071E9,776110,776759
776662,25.766018,-80.131584,1.301919071E9,776110,776759
776662,25.76592,-80.13161,1.301919071E9,776110,776759
776662,25.765825,-80.13164,1.301919071E9,776110,776759
776662,25.76572,-80.13161,1.301919071E9,776110,776759
776662,25.765625,-80.13157,1.301919071E9,776110,776759
776662,25.765661,-80.13169,1.301919071E9,776110,776759
776662,25.765722,-80.13179,1.301919071E9,776110,776759
776662,25.765774,-80.13189,1.301919071E9,776110,776759
776662,25.765821,-80.13198,1.301919071E9,776110,776759
776662,25.765903,-80.13207,1.301919071E9,776110,776759
776662,25.76596,-80.13218,1.301919071E9,776110,776759
776662,25.766003,-80.13229,1.301919071E9,776110,776759
776662,25.766062,-80.1324,1.301919071E9,776110,776759
776662,25.766111,-80.13249,1.301919071E9,776110,776759
776662,25.76615,-80.13258,1.301919071E9,776110,776759
776662,25.766169,-80.13269,1.301919071E9,776110,776759
776662,25.766195,-80.132805,1.301919071E9,776110,776759
776662,25.766214,-80.13292,1.301919071E9,776110,776759
776662,25.766245,-80.13304,1.301919071E9,776110,776759
776662,25.766285,-80.13314,1.301919071E9,776110,776759
776662,25.76635,-80.13323,1.301919071E9,776110,776759
776662,25.76636,-80.13334,1.301919071E9,776110,776759
776662,25.766294,-80.13342,1.301919071E9,776110,776759
776662,25.766195,-80.133446,1.301919071E9,776110,776759
776662,25.766088,-80.133446,1.301919071E9,776110,776759
