6344,-80.38195,1.301919071E9,776110,776759
776662,25.856344,-80.382095,1.301919071E9,776110,776759
776662,25.856342,-80.38224,1.301919071E9,776110,776759
776662,25.856342,-80.382385,1.301919071E9,776110,776759
776662,25.856342,-80.38254,1.301919071E9,776110,776759
776662,25.85634,-80.38265,1.301919071E9,776110,776759
776662,25.856487,-80.382805,1.301919071E9,776110,776759
776662,25.856497,-80.38296,1.301919071E9,776110,776759
776662,25.85634,-80.38312,1.301919071E9,776110,776759
776662,25.856339,-80.38328,1.301919071E9,776110,776759
776662,25.856339,-80.38342,1.301919071E9,776110,776759
776662,25.856339,-80.38357,1.301919071E9,776110,776759
776662,25.856337,-80.383705,1.301919071E9,776110,776759
776662,25.856337,-80.38384,1.301919071E9,776110,776759
776662,25.856337,-80.38399,1.301919071E9,776110,776759
776662,25.856335,-80.38413,1.301919071E9,776110,776759
776662,25.856335,-80.38427,1.301919071E9,776110,776759
776662,25.856335,-80.38443,1.301919071E9,776110,776759
776662,25.856335,-80.3846,1.301919071E9,776110,776759
776662,25.856333,-80.38476,1.301919071E9,776110,776759
776662,25.856333,-80.3849,1.301919071E9,776110,776759
776662,25.85633,-80.38506,1.301919071E9,776110,776759
776662,25.85633,-80.3852,1.301919071E9,776110,776759
776662,25.85633,-80.385345,1.301919071E9,776110,776759
776662,25.856329,-80.38548,1.301919071E9,776110,776759
776662,25.856329,-80.385635,1.301919071E9,776110,776759
776662,25.856327,-80.38578,1.301919071E9,776110,776759
776662,25.856327,-80.38593,1.301919071E9,776110,776759
776662,25.856327,-80.38608,1.301919071E9,776110,776759
776662,25.856325,-80.386215,1.301919071E9,776110,776759
776662,25.85633,-80.38636,1.301919071E9,776110,776759
776662,25.856354,-80.386475,1.301919071E9,776110,776759
776662,25.856417,-80.38655,1.301919071E9,776110,776759
776662,25.856512,-80.38658,1.301919071E9,776110,776759
776662,25.856615,-80.38659,1.301919071E9,776110,776759
776662,25.856716,-80.3866,1.301919071E9,776110,776759
776662,25.856827,-80.3866,1.301919071E9,776110,776759
776662,25.856953,-80.3866,1.301919071E9,776110,776759
776662,25.857082,-80.386604,1.301919071E9,776110,776759
776662,25.85721,-80.386604,1.301919071E9,776110,776759
776662,25.857338,-80.38661,1.301919071E9,776110,776759
776662,25.857456,-80.38661,1.301919071E9,776110,776759
776662,25.857588,-80.38662,1.301919071E9,776110,776759
776662,25.857702,-80.38662,1.301919071E9,776110,776759
776662,25.85783,-80.38662,1.301919071E9,776110,776759
776662,25.857956,-80.38663,1.301919071E9,776110,776759
776662,25.858074,-80.38663,1.301919071E9,776110,776759
776662,25.858206,-80.386635,1.301919071E9,776110,776759
776662,25.858332,-80.386635,1.301919071E9,776110,776759
776662,25.85847,-80.38664,1.301919071E9,776110,776759
776662,25.858585,-80.38664,1.301919071E9,776110,776759
776662,25.85871,-80.38665,1.301919071E9,776110,776759
776662,25.858847,-80.38665,1.301919071E9,776110,776759
776662,25.858957,-80.38666,1.301919071E9,776110,776759
776662,25.859077,-80.38666,1.301919071E9,776110,776759
776662,25.859203,-80.386665,1.301919071E9,776110,776759
776662,25.859322,-80.386665,1.301919071E9,776110,776759
776662,25.859446,-80.386665,1.301919071E9,776110,776759
776662,25.859554,-80.38667,1.301919071E9,776110,776759
776662,25.859686,-80.38667,1.301919071E9,776110,776759
776662,25.8598,-80.38668,1.301919071E9,776110,776759
776662,25.859924,-80.38668,1.301919071E9,776110,776759
776662,25.86005,-80.38669,1.301919071E9,776110,776759
776662,25.860174,-80.38669,1.301919071E9,776110,776759
776662,25.860304,-80.386696,1.301919071E9,776110,776759
776662,25.860434,-80.386696,1.301919071E9,776110,776759
776662,25.860565,-80.3867,1.301919071E9,776110,776759
776662,25.860695,-80.3867,1.301919071E9,776110,776759
776662,25.860826,-80.38671,1.301919071E9,776110,776759
776662,25.860966,-80.38672,1.301919071E9,776110,776759
776662,25.861092,-80.38672,1.301919071E9,776110,776759
776662,25.861212,-80.38672,1.301919071E9,776110,776759
776662,25.861332,-80.38673,1.301919071E9,776110,776759
776662,25.86145,-80.38673,1.301919071E9,776110,776759
776662,25.861567,-80.386734,1.301919071E9,776110,776759
776662,25.861694,-80.38674,1.301919071E9,776110,776759
776662,25.861818,-80.38674,1.301919071E9,776110,776759
776662,25.861948,-80.38675,1.301919071E9,776110,776759
776662,25.862078,-80.38675,1.301919071E9,776110,776759
776662,25.862206,-80.38676,1.301919071E9,776110,776759
776662,25.862333,-80.38676,1.301919071E9,776110,776759
776662,25.862473,-80.386765,1.301919071E9,776110,776759
776662,25.862602,-80.386765,1.301919071E9,776110,776759
776662,25.86273,-80.38677,1.301919071E9,776110,776759
776662,25.862864,-80.38678,1.301919071E9,776110,776759
776662,25.862993,-80.38678,1.301919071E9,776110,776759
776662,25.863127,-80.38679,1.301919071E9,776110,776759
776662,25.863253,-80.38679,1.301919071E9,776110,776759
776662,25.863392,-80.386795,1.301919071E9,776110,776759
776662,25.86351,-80.386795,1.301919071E9,776110,776759
776662,25.863651,-80.386795,1.301919071E9,776110,776759
776662,25.86377,-80.3868,1.301919071E9,776110,776759
776662,25.86389,-80.3868,1.301919071E9,776110,776759
776662,25.86401,-80.38681,1.301919071E9,776110,776759
776662,25.86414,-80.38681,1.301919071E9,776110,776759
776662,25.864271,-80.38681,1.301919071E9,776110,776759
776662,25.8644,-80.38682,1.301919071E9,776110,776759
776662,25.864504,-80.38682,1.301919071E9,776110,776759
776662,25.864622,-80.386826,1.301919071E9,776110,776759
776662,25.864767,-80.386826,1.301919071E9,776110,776759
776662,25.864906,-80.38683,1.301919071E9,776110,776759
776662,25.865025,-80.38683,1.301919071E9,776110,776759
776662,25.86517,-80.38684,1.301919071E9,776110,776759
776662,25.865288,-80.38685,1.301919071E9,776110,776759
776662,25.86541,-80.38685,1.301919071E9,776110,776759
776662,25.86555,-80.386856,1.301919071E9,776110,776759
