.86332,2.326265,1.301919071E9,776110,776759
776662,48.86326,2.326374,1.301919071E9,776110,776759
776662,48.8632,2.326492,1.301919071E9,776110,776759
776662,48.86314,2.326594,1.301919071E9,776110,776759
776662,48.86311,2.326731,1.301919071E9,776110,776759
776662,48.863083,2.326891,1.301919071E9,776110,776759
776662,48.863037,2.327013,1.301919071E9,776110,776759
776662,48.863007,2.327145,1.301919071E9,776110,776759
776662,48.86298,2.327276,1.301919071E9,776110,776759
776662,48.862965,2.327418,1.301919071E9,776110,776759
776662,48.86302,2.327529,1.301919071E9,776110,776759
776662,48.8631,2.327629,1.301919071E9,776110,776759
776662,48.863174,2.327741,1.301919071E9,776110,776759
776662,48.863228,2.327854,1.301919071E9,776110,776759
776662,48.863235,2.327993,1.301919071E9,776110,776759
776662,48.863228,2.328139,1.301919071E9,776110,776759
776662,48.863213,2.328294,1.301919071E9,776110,776759
776662,48.863194,2.328448,1.301919071E9,776110,776759
776662,48.86321,2.328596,1.301919071E9,776110,776759
776662,48.86323,2.328732,1.301919071E9,776110,776759
776662,48.86326,2.328869,1.301919071E9,776110,776759
776662,48.863293,2.329041,1.301919071E9,776110,776759
776662,48.863358,2.329191,1.301919071E9,776110,776759
776662,48.863438,2.32929,1.301919071E9,776110,776759
776662,48.863518,2.329381,1.301919071E9,776110,776759
776662,48.86359,2.329461,1.301919071E9,776110,776759
776662,48.863693,2.329535,1.301919071E9,776110,776759
776662,48.863796,2.329622,1.301919071E9,776110,776759
776662,48.863903,2.329684,1.301919071E9,776110,776759
776662,48.863968,2.329584,1.301919071E9,776110,776759
776662,48.86402,2.329467,1.301919071E9,776110,776759
776662,48.86408,2.329326,1.301919071E9,776110,776759
776662,48.86413,2.329206,1.301919071E9,776110,776759
776662,48.86419,2.329078,1.301919071E9,776110,776759
776662,48.864243,2.328935,1.301919071E9,776110,776759
776662,48.864285,2.328796,1.301919071E9,776110,776759
776662,48.864334,2.32864,1.301919071E9,776110,776759
776662,48.86439,2.328514,1.301919071E9,776110,776759
776662,48.864452,2.328395,1.301919071E9,776110,776759
776662,48.8645,2.328248,1.301919071E9,776110,776759
776662,48.864563,2.328115,1.301919071E9,776110,776759
776662,48.864613,2.327973,1.301919071E9,776110,776759
776662,48.864666,2.327829,1.301919071E9,776110,776759
776662,48.86471,2.3277,1.301919071E9,776110,776759
776662,48.86475,2.32757,1.301919071E9,776110,776759
776662,48.864803,2.327417,1.301919071E9,776110,776759
776662,48.864834,2.327287,1.301919071E9,776110,776759
776662,48.86487,2.32715,1.301919071E9,776110,776759
776662,48.86491,2.327004,1.301919071E9,776110,776759
776662,48.86496,2.326855,1.301919071E9,776110,776759
776662,48.865005,2.32669,1.301919071E9,776110,776759
776662,48.86505,2.326558,1.301919071E9,776110,776759
776662,48.86508,2.326428,1.301919071E9,776110,776759
776662,48.865124,2.326266,1.301919071E9,776110,776759
776662,48.865166,2.326104,1.301919071E9,776110,776759
776662,48.86521,2.325987,1.301919071E9,776110,776759
776662,48.86523,2.325821,1.301919071E9,776110,776759
776662,48.86522,2.325674,1.301919071E9,776110,776759
776662,48.86524,2.32551,1.301919071E9,776110,776759
776662,48.865215,2.325348,1.301919071E9,776110,776759
776662,48.86518,2.325216,1.301919071E9,776110,776759
776662,48.865135,2.325088,1.301919071E9,776110,776759
776662,48.86509,2.324969,1.301919071E9,776110,776759
776662,48.865055,2.32484,1.301919071E9,776110,776759
776662,48.86502,2.32471,1.301919071E9,776110,776759
776662,48.86497,2.324588,1.301919071E9,776110,776759
776662,48.864937,2.32446,1.301919071E9,776110,776759
776662,48.864902,2.324332,1.301919071E9,776110,776759
776662,48.86486,2.324203,1.301919071E9,776110,776759
776662,48.86481,2.324069,1.301919071E9,776110,776759
776662,48.864742,2.323971,1.301919071E9,776110,776759
776662,48.864697,2.323853,1.301919071E9,776110,776759
776662,48.864586,2.323822,1.301919071E9,776110,776759
776662,48.864475,2.323859,1.301919071E9,776110,776759
776662,48.864365,2.323902,1.301919071E9,776110,776759
776662,48.864265,2.323962,1.301919071E9,776110,776759
776662,48.864162,2.324012,1.301919071E9,776110,776759
776662,48.864082,2.324075,1.301919071E9,776110,776759
776662,48.863995,2.324187,1.301919071E9,776110,776759
776662,48.863934,2.324308,1.301919071E9,776110,776759
776662,48.863895,2.324446,1.301919071E9,776110,776759
776662,48.863853,2.324589,1.301919071E9,776110,776759
776662,48.863796,2.324718,1.301919071E9,776110,776759
776662,48.863747,2.324865,1.301919071E9,776110,776759
776662,48.8637,2.324981,1.301919071E9,776110,776759
776662,48.86367,2.325121,1.301919071E9,776110,776759
776662,48.86362,2.325263,1.301919071E9,776110,776759
776662,48.86357,2.325412,1.301919071E9,776110,776759
776662,48.86353,2.325575,1.301919071E9,776110,776759
776662,48.863476,2.325716,1.301919071E9,776110,776759
776662,48.863445,2.32586,1.301919071E9,776110,776759
776662,48.863396,2.325975,1.301919071E9,776110,776759
776662,48.863346,2.326096,1.301919071E9,776110,776759
776662,48.86333,2.326246,1.301919071E9,776110,776759
776662,48.863262,2.326363,1.301919071E9,776110,776759
776662,48.86321,2.326483,1.301919071E9,776110,776759
776662,48.86318,2.326634,1.301919071E9,776110,776759
776662,48.86315,2.32678,1.301919071E9,776110,776759
776662,48.863106,2.326931,1.301919071E9,776110,776759
776662,48.86305,2.327042,1.301919071E9,776110,776759
776662,48.863,2.327164,1.301919071E9,776110,776759
776662,48.86296,2.327301,1.301919071E9,776110,776759
776662,48.862988,2.327456,1.301919071E9,776110,776759
776662,48.863068,2.327581,1.301919071E9,776110,776759
776662,48.863144,2.327694,1.301919071E9,776110,776759
776662,48.8632,2.327831,1.301919071E9,776110,776759
776662,48.863197,2.327987,1.301919071E9,776110,776759
776662,48.863163,2.328168,1.301919071E9,776110,776759
776662,48.86315,2.328317,1.301919071E9,776110,776759
776662,48.863155,2.32848,1.301919071E9,776110,776759
776662,48.863167,2.32864,1.301919071E9,776110,776759
776662,48.863186,2.328819,1.301919071E9,776110,776759
776662,48.86322,2.32898,1.301919071E9,776110,776759
776662,48.86328,2.329129,1.301919071E9,776110,776759
776662,48.863373,2.329198,1.301919071E9,776110,776759
776662,48.863464,2.329258,1.301919071E9,776110,776759
776662,48.863556,2.329333,1.301919071E9,776110,776759
776662,48.863636,2.329408,1.301919071E9,776110,776759
776662,48.863716,2.329479,1.301919071E9,776110,776759
776662,48.8638,2.329534,1.301919071E9,776110,776759
776662,48.863907,2.329611,1.301919071E9,776110,776759
776662,48.863964,2.329499,1.301919071E9,776110,776759
776662,48.86398,2.329353,1.301919071E9,776110,776759
776662,48.864017,2.329229,1.301919071E9,776110,776759
776662,48.86406,2.329092,1.301919071E9,776110,776759
776662,48.86409,2.328954,1.301919071E9,776110,776759
776662,48.864143,2.328825,1.301919071E9,776110,776759
776662,48.864193,2.32869,1.301919071E9,776110,776759
776662,48.86424,2.328541,1.301919071E9,776110,776759
776662,48.864304,2.328416,1.301919071E9,776110,776759
776662,48.864338,2.328266,1.301919071E9,776110,776759
776662,48.864388,2.328119,1.301919071E9,776110,776759
776662,48.86445,2.327982,1.301919071E9,776110,776759
776662,48.8645,2.327849,1.301919071E9,776110,776759
776662,48.864567,2.327716,1.301919071E9,776110,776759
776662,48.86463,2.327585,1.301919071E9,776110,776759
776662,48.86468,2.327443,1.301919071E9,776110,776759
776662,48.86472,2.327295,1.301919071E9,776110,776759
776662,48.86476,2.327172,1.301919071E9,776110,776759
776662,48.864822,2.327007,1.301919071E9,776110,776759
776662,48.864853,2.32687,1.301919071E9,776110,776759
776662,48.864895,2.326713,1.301919071E9,776110,776759
776662,48.86494,2.32659,1.301919071E9,776110,776759
