,5.4721274,1.301919071E9,776110,776759
776662,51.418118,5.472066,1.301919071E9,776110,776759
776662,51.41802,5.4719973,1.301919071E9,776110,776759
776662,51.417908,5.4719334,1.301919071E9,776110,776759
776662,51.41781,5.4718843,1.301919071E9,776110,776759
776662,51.41769,5.4717646,1.301919071E9,776110,776759
776662,51.41762,5.4716806,1.301919071E9,776110,776759
776662,51.4175,5.4715242,1.301919071E9,776110,776759
776662,51.417393,5.4714303,1.301919071E9,776110,776759
776662,51.417305,5.4713235,1.301919071E9,776110,776759
776662,51.417217,5.471233,1.301919071E9,776110,776759
776662,51.417118,5.4711676,1.301919071E9,776110,776759
776662,51.417038,5.4711056,1.301919071E9,776110,776759
776662,51.416924,5.471056,1.301919071E9,776110,776759
776662,51.41683,5.4710245,1.301919071E9,776110,776759
776662,51.416748,5.4709706,1.301919071E9,776110,776759
776662,51.41665,5.470942,1.301919071E9,776110,776759
776662,51.416527,5.470946,1.301919071E9,776110,776759
776662,51.416424,5.47092,1.301919071E9,776110,776759
776662,51.41634,5.4709215,1.301919071E9,776110,776759
776662,51.416206,5.4709606,1.301919071E9,776110,776759
776662,51.416115,5.470984,1.301919071E9,776110,776759
776662,51.41602,5.4709816,1.301919071E9,776110,776759
776662,51.415924,5.470914,1.301919071E9,776110,776759
776662,51.41582,5.470888,1.301919071E9,776110,776759
776662,51.415718,5.4708853,1.301919071E9,776110,776759
776662,51.415627,5.470892,1.301919071E9,776110,776759
776662,51.415535,5.470886,1.301919071E9,776110,776759
776662,51.41544,5.4709005,1.301919071E9,776110,776759
776662,51.415356,5.4709086,1.301919071E9,776110,776759
776662,51.415257,5.4708776,1.301919071E9,776110,776759
776662,51.41516,5.470884,1.301919071E9,776110,776759
776662,51.41507,5.470864,1.301919071E9,776110,776759
776662,51.414963,5.4708533,1.301919071E9,776110,776759
776662,51.414875,5.4708304,1.301919071E9,776110,776759
776662,51.414787,5.470806,1.301919071E9,776110,776759
776662,51.4147,5.470789,1.301919071E9,776110,776759
776662,51.414616,5.4707355,1.301919071E9,776110,776759
776662,51.41453,5.4706903,1.301919071E9,776110,776759
776662,51.414417,5.4706693,1.301919071E9,776110,776759
776662,51.414314,5.4706316,1.301919071E9,776110,776759
776662,51.414204,5.47061,1.301919071E9,776110,776759
776662,51.414116,5.470607,1.301919071E9,776110,776759
776662,51.41401,5.4705987,1.301919071E9,776110,776759
776662,51.413906,5.4705863,1.301919071E9,776110,776759
776662,51.41379,5.4705644,1.301919071E9,776110,776759
776662,51.41368,5.4706163,1.301919071E9,776110,776759
776662,51.413578,5.4705853,1.301919071E9,776110,776759
776662,51.41351,5.470484,1.301919071E9,776110,776759
776662,51.413467,5.470344,1.301919071E9,776110,776759
776662,51.41339,5.4701843,1.301919071E9,776110,776759
776662,51.413315,5.470082,1.301919071E9,776110,776759
776662,51.41327,5.4699745,1.301919071E9,776110,776759
776662,51.413208,5.4698296,1.301919071E9,776110,776759
776662,51.413136,5.4696884,1.301919071E9,776110,776759
776662,51.413033,5.4695587,1.301919071E9,776110,776759
776662,51.41291,5.469451,1.301919071E9,776110,776759
776662,51.412834,5.469302,1.301919071E9,776110,776759
776662,51.412777,5.4691877,1.301919071E9,776110,776759
776662,51.41271,5.469114,1.301919071E9,776110,776759
776662,51.412636,5.468961,1.301919071E9,776110,776759
776662,51.41254,5.4688063,1.301919071E9,776110,776759
