,48.851597,2.354588,1.301919071E9,776110,776759
776662,48.851635,2.354451,1.301919071E9,776110,776759
776662,48.85168,2.354297,1.301919071E9,776110,776759
776662,48.85172,2.354157,1.301919071E9,776110,776759
776662,48.851772,2.354048,1.301919071E9,776110,776759
776662,48.851856,2.353937,1.301919071E9,776110,776759
776662,48.851936,2.353868,1.301919071E9,776110,776759
776662,48.85202,2.35378,1.301919071E9,776110,776759
776662,48.85213,2.353689,1.301919071E9,776110,776759
776662,48.852207,2.353621,1.301919071E9,776110,776759
776662,48.852295,2.353533,1.301919071E9,776110,776759
776662,48.852386,2.353444,1.301919071E9,776110,776759
776662,48.852478,2.353362,1.301919071E9,776110,776759
776662,48.852585,2.353309,1.301919071E9,776110,776759
776662,48.85269,2.353289,1.301919071E9,776110,776759
776662,48.85277,2.353199,1.301919071E9,776110,776759
776662,48.852802,2.353057,1.301919071E9,776110,776759
776662,48.852776,2.352907,1.301919071E9,776110,776759
776662,48.852726,2.352756,1.301919071E9,776110,776759
776662,48.852688,2.352589,1.301919071E9,776110,776759
776662,48.852665,2.352406,1.301919071E9,776110,776759
776662,48.852654,2.352237,1.301919071E9,776110,776759
776662,48.85266,2.352087,1.301919071E9,776110,776759
776662,48.85269,2.351931,1.301919071E9,776110,776759
776662,48.852715,2.351778,1.301919071E9,776110,776759
776662,48.85275,2.351636,1.301919071E9,776110,776759
776662,48.852795,2.351485,1.301919071E9,776110,776759
776662,48.85284,2.351354,1.301919071E9,776110,776759
776662,48.852894,2.351211,1.301919071E9,776110,776759
776662,48.852936,2.351088,1.301919071E9,776110,776759
776662,48.85299,2.350949,1.301919071E9,776110,776759
776662,48.853027,2.350811,1.301919071E9,776110,776759
776662,48.853096,2.350663,1.301919071E9,776110,776759
776662,48.85314,2.350526,1.301919071E9,776110,776759
776662,48.85317,2.350389,1.301919071E9,776110,776759
776662,48.853245,2.350183,1.301919071E9,776110,776759
776662,48.853313,2.350023,1.301919071E9,776110,776759
776662,48.853256,2.349874,1.301919071E9,776110,776759
776662,48.853302,2.34975,1.301919071E9,776110,776759
776662,48.853367,2.349624,1.301919071E9,776110,776759
776662,48.85345,2.349497,1.301919071E9,776110,776759
776662,48.853485,2.349366,1.301919071E9,776110,776759
776662,48.853523,2.349238,1.301919071E9,776110,776759
776662,48.853485,2.349097,1.301919071E9,776110,776759
776662,48.85344,2.348958,1.301919071E9,776110,776759
776662,48.85335,2.348866,1.301919071E9,776110,776759
776662,48.85328,2.348783,1.301919071E9,776110,776759
776662,48.85319,2.348711,1.301919071E9,776110,776759
776662,48.8531,2.348713,1.301919071E9,776110,776759
776662,48.853004,2.348654,1.301919071E9,776110,776759
776662,48.85305,2.348508,1.301919071E9,776110,776759
776662,48.85312,2.348412,1.301919071E9,776110,776759
776662,48.853184,2.348304,1.301919071E9,776110,776759
776662,48.853237,2.348187,1.301919071E9,776110,776759
776662,48.853275,2.348027,1.301919071E9,776110,776759
776662,48.853317,2.347902,1.301919071E9,776110,776759
776662,48.85337,2.347762,1.301919071E9,776110,776759
776662,48.853428,2.347646,1.301919071E9,776110,776759
776662,48.85347,2.347496,1.301919071E9,776110,776759
776662,48.85354,2.347372,1.301919071E9,776110,776759
776662,48.853622,2.347273,1.301919071E9,776110,776759
776662,48.853676,2.347091,1.301919071E9,776110,776759
776662,48.853695,2.346915,1.301919071E9,776110,776759
776662,48.85374,2.346786,1.301919071E9,776110,776759
776662,48.853783,2.346633,1.301919071E9,776110,776759
776662,48.853825,2.34651,1.301919071E9,776110,776759
776662,48.85389,2.346376,1.301919071E9,776110,776759
776662,48.853947,2.346238,1.301919071E9,776110,776759
776662,48.854,2.346127,1.301919071E9,776110,776759
776662,48.85405,2.345973,1.301919071E9,776110,776759
776662,48.8541,2.345827,1.301919071E9,776110,776759
776662,48.85414,2.345682,1.301919071E9,776110,776759
776662,48.85419,2.345534,1.301919071E9,776110,776759
776662,48.854256,2.3454,1.301919071E9,776110,776759
776662,48.854317,2.345243,1.301919071E9,776110,776759
776662,48.854366,2.345115,1.301919071E9,776110,776759
776662,48.854397,2.344969,1.301919071E9,776110,776759
776662,48.854412,2.344817,1.301919071E9,776110,776759
776662,48.854454,2.344692,1.301919071E9,776110,776759
776662,48.8545,2.344564,1.301919071E9,776110,776759
776662,48.85453,2.344416,1.301919071E9,776110,776759
776662,48.854584,2.344273,1.301919071E9,776110,776759
776662,48.854668,2.344164,1.301919071E9,776110,776759
776662,48.85474,2.344065,1.301919071E9,776110,776759
776662,48.854813,2.343962,1.301919071E9,776110,776759
776662,48.854885,2.343857,1.301919071E9,776110,776759
776662,48.854958,2.343691,1.301919071E9,776110,776759
776662,48.855015,2.343554,1.301919071E9,776110,776759
776662,48.855076,2.343416,1.301919071E9,776110,776759
776662,48.855152,2.343298,1.301919071E9,776110,776759
776662,48.85524,2.343193,1.301919071E9,776110,776759
776662,48.855312,2.343096,1.301919071E9,776110,776759
776662,48.855392,2.342995,1.301919071E9,776110,776759
776662,48.85547,2.342909,1.301919071E9,776110,776759
776662,48.855545,2.342794,1.301919071E9,776110,776759
776662,48.855614,2.342706,1.301919071E9,776110,776759
776662,48.85569,2.3426,1.301919071E9,776110,776759
776662,48.85576,2.342496,1.301919071E9,776110,776759
776662,48.85584,2.342395,1.301919071E9,776110,776759
776662,48.855915,2.342323,1.301919071E9,776110,776759
776662,48.85599,2.342234,1.301919071E9,776110,776759
776662,48.85607,2.342172,1.301919071E9,776110,776759
776662,48.856163,2.342104,1.301919071E9,776110,776759
776662,48.856262,2.342019,1.301919071E9,776110,776759
776662,48.856342,2.341911,1.301919071E9,776110,776759
776662,48.856422,2.341833,1.301919071E9,776110,776759
776662,48.85651,2.341728,1.301919071E9,776110,776759
776662,48.856606,2.341637,1.301919071E9,776110,776759
776662,48.856693,2.341555,1.301919071E9,776110,776759
776662,48.85675,2.341444,1.301919071E9,776110,776759
776662,48.85682,2.341305,1.301919071E9,776110,776759
776662,48.856853,2.341176,1.301919071E9,776110,776759
776662,48.856953,2.341147,1.301919071E9,776110,776759
