4105,2.329274,1.301919071E9,776110,776759
776662,48.864143,2.329145,1.301919071E9,776110,776759
776662,48.86418,2.328995,1.301919071E9,776110,776759
776662,48.864235,2.328854,1.301919071E9,776110,776759
776662,48.86427,2.3287,1.301919071E9,776110,776759
776662,48.8643,2.328495,1.301919071E9,776110,776759
776662,48.86433,2.328332,1.301919071E9,776110,776759
776662,48.86438,2.328202,1.301919071E9,776110,776759
776662,48.86443,2.328066,1.301919071E9,776110,776759
776662,48.864475,2.327926,1.301919071E9,776110,776759
776662,48.864513,2.327758,1.301919071E9,776110,776759
776662,48.864548,2.327599,1.301919071E9,776110,776759
776662,48.86458,2.327457,1.301919071E9,776110,776759
776662,48.864616,2.327315,1.301919071E9,776110,776759
776662,48.864674,2.327188,1.301919071E9,776110,776759
776662,48.86472,2.327048,1.301919071E9,776110,776759
776662,48.864777,2.326893,1.301919071E9,776110,776759
776662,48.86482,2.32675,1.301919071E9,776110,776759
776662,48.86486,2.326606,1.301919071E9,776110,776759
776662,48.864902,2.326456,1.301919071E9,776110,776759
776662,48.86496,2.326305,1.301919071E9,776110,776759
776662,48.864986,2.326169,1.301919071E9,776110,776759
776662,48.86504,2.326017,1.301919071E9,776110,776759
776662,48.865116,2.325867,1.301919071E9,776110,776759
776662,48.86516,2.325743,1.301919071E9,776110,776759
776662,48.865204,2.325602,1.301919071E9,776110,776759
776662,48.865246,2.325478,1.301919071E9,776110,776759
776662,48.865253,2.325334,1.301919071E9,776110,776759
776662,48.86524,2.325167,1.301919071E9,776110,776759
776662,48.865166,2.325018,1.301919071E9,776110,776759
776662,48.865112,2.324858,1.301919071E9,776110,776759
776662,48.865063,2.324683,1.301919071E9,776110,776759
776662,48.86502,2.324554,1.301919071E9,776110,776759
776662,48.864975,2.324428,1.301919071E9,776110,776759
776662,48.864925,2.324296,1.301919071E9,776110,776759
776662,48.86489,2.32416,1.301919071E9,776110,776759
776662,48.86485,2.32403,1.301919071E9,776110,776759
776662,48.864807,2.323896,1.301919071E9,776110,776759
776662,48.86475,2.323779,1.301919071E9,776110,776759
776662,48.86468,2.323691,1.301919071E9,776110,776759
776662,48.86459,2.323643,1.301919071E9,776110,776759
776662,48.864494,2.323624,1.301919071E9,776110,776759
776662,48.86439,2.323652,1.301919071E9,776110,776759
776662,48.8643,2.323715,1.301919071E9,776110,776759
776662,48.86422,2.323797,1.301919071E9,776110,776759
776662,48.864136,2.323866,1.301919071E9,776110,776759
776662,48.86405,2.323946,1.301919071E9,776110,776759
776662,48.863956,2.324,1.301919071E9,776110,776759
776662,48.863873,2.324075,1.301919071E9,776110,776759
776662,48.863823,2.324199,1.301919071E9,776110,776759
776662,48.863792,2.324353,1.301919071E9,776110,776759
776662,48.86373,2.324489,1.301919071E9,776110,776759
776662,48.863697,2.324676,1.301919071E9,776110,776759
776662,48.863647,2.324845,1.301919071E9,776110,776759
776662,48.863598,2.32499,1.301919071E9,776110,776759
776662,48.863556,2.325135,1.301919071E9,776110,776759
776662,48.86351,2.325276,1.301919071E9,776110,776759
776662,48.86347,2.325417,1.301919071E9,776110,776759
776662,48.86341,2.325583,1.301919071E9,776110,776759
776662,48.863377,2.325716,1.301919071E9,776110,776759
776662,48.863342,2.32585,1.301919071E9,776110,776759
776662,48.86329,2.325998,1.301919071E9,776110,776759
776662,48.86325,2.326125,1.301919071E9,776110,776759
776662,48.863197,2.326304,1.301919071E9,776110,776759
776662,48.863148,2.326452,1.301919071E9,776110,776759
776662,48.863106,2.326603,1.301919071E9,776110,776759
776662,48.86305,2.326726,1.301919071E9,776110,776759
776662,48.862995,2.326862,1.301919071E9,776110,776759
776662,48.86296,2.326988,1.301919071E9,776110,776759
776662,48.8629,2.3271,1.301919071E9,776110,776759
776662,48.862854,2.327259,1.301919071E9,776110,776759
776662,48.862816,2.32739,1.301919071E9,776110,776759
776662,48.86278,2.327547,1.301919071E9,776110,776759
776662,48.862747,2.3277,1.301919071E9,776110,776759
776662,48.8627,2.327852,1.301919071E9,776110,776759
776662,48.86264,2.32802,1.301919071E9,776110,776759
776662,48.862583,2.328159,1.301919071E9,776110,776759
776662,48.862534,2.328288,1.301919071E9,776110,776759
776662,48.86249,2.328414,1.301919071E9,776110,776759
776662,48.862434,2.328571,1.301919071E9,776110,776759
776662,48.862377,2.328693,1.301919071E9,776110,776759
776662,48.862297,2.328802,1.301919071E9,776110,776759
