8.85939,2.332738,1.301919071E9,776110,776759
776662,48.859478,2.332787,1.301919071E9,776110,776759
776662,48.85957,2.332843,1.301919071E9,776110,776759
776662,48.859676,2.332899,1.301919071E9,776110,776759
776662,48.859764,2.332942,1.301919071E9,776110,776759
776662,48.859867,2.333,1.301919071E9,776110,776759
776662,48.859962,2.333044,1.301919071E9,776110,776759
776662,48.860058,2.332991,1.301919071E9,776110,776759
776662,48.860092,2.333123,1.301919071E9,776110,776759
776662,48.860058,2.333275,1.301919071E9,776110,776759
776662,48.860023,2.333439,1.301919071E9,776110,776759
776662,48.859985,2.333571,1.301919071E9,776110,776759
776662,48.860077,2.333625,1.301919071E9,776110,776759
776662,48.860172,2.333678,1.301919071E9,776110,776759
776662,48.860268,2.333753,1.301919071E9,776110,776759
776662,48.860363,2.333807,1.301919071E9,776110,776759
776662,48.86047,2.33382,1.301919071E9,776110,776759
776662,48.860588,2.333903,1.301919071E9,776110,776759
776662,48.860706,2.334002,1.301919071E9,776110,776759
776662,48.86077,2.334123,1.301919071E9,776110,776759
776662,48.860775,2.334268,1.301919071E9,776110,776759
776662,48.860695,2.334338,1.301919071E9,776110,776759
776662,48.860718,2.334202,1.301919071E9,776110,776759
776662,48.86064,2.334092,1.301919071E9,776110,776759
776662,48.860725,2.334237,1.301919071E9,776110,776759
776662,48.860813,2.334293,1.301919071E9,776110,776759
776662,48.8609,2.33434,1.301919071E9,776110,776759
776662,48.860977,2.334421,1.301919071E9,776110,776759
776662,48.86106,2.334515,1.301919071E9,776110,776759
776662,48.861137,2.334618,1.301919071E9,776110,776759
776662,48.861225,2.334688,1.301919071E9,776110,776759
776662,48.861336,2.334724,1.301919071E9,776110,776759
776662,48.86145,2.33474,1.301919071E9,776110,776759
776662,48.86156,2.334759,1.301919071E9,776110,776759
776662,48.861668,2.334754,1.301919071E9,776110,776759
776662,48.861774,2.334746,1.301919071E9,776110,776759
776662,48.86185,2.334673,1.301919071E9,776110,776759
776662,48.86192,2.334558,1.301919071E9,776110,776759
776662,48.86195,2.334415,1.301919071E9,776110,776759
776662,48.861988,2.334265,1.301919071E9,776110,776759
776662,48.86208,2.334233,1.301919071E9,776110,776759
776662,48.862175,2.334292,1.301919071E9,776110,776759
776662,48.862255,2.334386,1.301919071E9,776110,776759
776662,48.86233,2.334492,1.301919071E9,776110,776759
776662,48.862415,2.334601,1.301919071E9,776110,776759
776662,48.86249,2.334695,1.301919071E9,776110,776759
776662,48.86256,2.334801,1.301919071E9,776110,776759
776662,48.86264,2.33489,1.301919071E9,776110,776759
776662,48.86275,2.334782,1.301919071E9,776110,776759
776662,48.862827,2.334643,1.301919071E9,776110,776759
776662,48.86289,2.334533,1.301919071E9,776110,776759
776662,48.86299,2.334429,1.301919071E9,776110,776759
776662,48.863068,2.334316,1.301919071E9,776110,776759
776662,48.863117,2.334201,1.301919071E9,776110,776759
776662,48.863174,2.33409,1.301919071E9,776110,776759
776662,48.863228,2.333967,1.301919071E9,776110,776759
776662,48.86329,2.333858,1.301919071E9,776110,776759
776662,48.863323,2.333705,1.301919071E9,776110,776759
776662,48.86336,2.333569,1.301919071E9,776110,776759
776662,48.86339,2.333433,1.301919071E9,776110,776759
776662,48.86342,2.333278,1.301919071E9,776110,776759
776662,48.86347,2.333155,1.301919071E9,776110,776759
776662,48.863525,2.33301,1.301919071E9,776110,776759
776662,48.863586,2.332879,1.301919071E9,776110,776759
776662,48.86364,2.33276,1.301919071E9,776110,776759
776662,48.863678,2.332613,1.301919071E9,776110,776759
776662,48.86372,2.332484,1.301919071E9,776110,776759
776662,48.86379,2.332385,1.301919071E9,776110,776759
776662,48.86383,2.33224,1.301919071E9,776110,776759
776662,48.863888,2.332119,1.301919071E9,776110,776759
776662,48.86392,2.331964,1.301919071E9,776110,776759
776662,48.86393,2.331825,1.301919071E9,776110,776759
776662,48.863937,2.331656,1.301919071E9,776110,776759
776662,48.86397,2.331512,1.301919071E9,776110,776759
776662,48.863983,2.331374,1.301919071E9,776110,776759
776662,48.864025,2.331232,1.301919071E9,776110,776759
776662,48.864063,2.331076,1.301919071E9,776110,776759
776662,48.8641,2.330913,1.301919071E9,776110,776759
776662,48.864136,2.330783,1.301919071E9,776110,776759
776662,48.864178,2.330631,1.301919071E9,776110,776759
776662,48.864227,2.330502,1.301919071E9,776110,776759
776662,48.86426,2.330359,1.301919071E9,776110,776759
776662,48.864338,2.330247,1.301919071E9,776110,776759
776662,48.86439,2.330128,1.301919071E9,776110,776759
776662,48.86443,2.329989,1.301919071E9,776110,776759
776662,48.864452,2.329823,1.301919071E9,776110,776759
776662,48.864468,2.32967,1.301919071E9,776110,776759
776662,48.864513,2.329519,1.301919071E9,776110,776759
776662,48.86457,2.329379,1.301919071E9,776110,776759
776662,48.86462,2.329257,1.301919071E9,776110,776759
776662,48.864662,2.32911,1.301919071E9,776110,776759
776662,48.864685,2.328967,1.301919071E9,776110,776759
776662,48.864723,2.328808,1.301919071E9,776110,776759
776662,48.864777,2.328671,1.301919071E9,776110,776759
776662,48.864826,2.32855,1.301919071E9,776110,776759
776662,48.864876,2.328411,1.301919071E9,776110,776759
776662,48.86492,2.328262,1.301919071E9,776110,776759
776662,48.864964,2.328117,1.301919071E9,776110,776759
776662,48.86501,2.327987,1.301919071E9,776110,776759
776662,48.86506,2.327846,1.301919071E9,776110,776759
776662,48.86511,2.327707,1.301919071E9,776110,776759
776662,48.865154,2.327564,1.301919071E9,776110,776759
776662,48.865208,2.327411,1.301919071E9,776110,776759
776662,48.865257,2.32728,1.301919071E9,776110,776759
776662,48.86531,2.327149,1.301919071E9,776110,776759
776662,48.86534,2.327,1.301919071E9,776110,776759
776662,48.865356,2.326864,1.301919071E9,776110,776759
776662,48.865387,2.326732,1.301919071E9,776110,776759
776662,48.865417,2.326576,1.301919071E9,776110,776759
776662,48.86547,2.326442,1.301919071E9,776110,776759
776662,48.865505,2.326305,1.301919071E9,776110,776759
776662,48.86556,2.326192,1.301919071E9,776110,776759
776662,48.865593,2.326058,1.301919071E9,776110,776759
776662,48.865646,2.325924,1.301919071E9,776110,776759
776662,48.86569,2.325794,1.301919071E9,776110,776759
776662,48.865734,2.325664,1.301919071E9,776110,776759
776662,48.86578,2.325528,1.301919071E9,776110,776759
776662,48.865826,2.325376,1.301919071E9,776110,776759
776662,48.86588,2.325245,1.301919071E9,776110,776759
776662,48.865936,2.325132,1.301919071E9,776110,776759
776662,48.865993,2.325,1.301919071E9,776110,776759
776662,48.866035,2.324874,1.301919071E9,776110,776759
776662,48.866055,2.324736,1.301919071E9,776110,776759
776662,48.86611,2.324605,1.301919071E9,776110,776759
776662,48.866177,2.324481,1.301919071E9,776110,776759
776662,48.86622,2.324352,1.301919071E9,776110,776759
776662,48.866264,2.32422,1.301919071E9,776110,776759
776662,48.866333,2.324129,1.301919071E9,776110,776759
776662,48.866318,2.32398,1.301919071E9,776110,776759
776662,48.866337,2.32384,1.301919071E9,776110,776759
776662,48.866344,2.323701,1.301919071E9,776110,776759
776662,48.866325,2.32355,1.301919071E9,776110,776759
776662,48.866283,2.32342,1.301919071E9,776110,776759
776662,48.86623,2.323292,1.301919071E9,776110,776759
776662,48.866142,2.32324,1.301919071E9,776110,776759
776662,48.86609,2.323124,1.301919071E9,776110,776759
776662,48.86602,2.323004,1.301919071E9,776110,776759
776662,48.865982,2.322867,1.301919071E9,776110,776759
776662,48.865948,2.322719,1.301919071E9,776110,776759
776662,48.86592,2.322571,1.301919071E9,776110,776759
776662,48.86589,2.322436,1.301919071E9,776110,776759
776662,48.86582,2.322336,1.301919071E9,776110,776759
776662,48.86575,2.322236,1.301919071E9,776110,776759
776662,48.86567,2.322159,1.301919071E9,776110,776759
776662,48.865597,2.322054,1.301919071E9,776110,776759
776662,48.865612,2.321911,1.301919071E9,776110,776759
776662,48.865643,2.321767,1.301919071E9,776110,776759
776662,48.865673,2.321626,1.301919071E9,776110,776759
776662,48.865704,2.321491,1.301919071E9,776110,776759
776662,48.865738,2.321362,1.301919071E9,776110,776
